segment_id,left_x0,left_y0,left_x1,left_y1,right_x1,right_y1,right_x0,right_y0
91,8.490943094736151,0.5435561488707332,10.0601328531292,0.9297693302384218,9.519292646157725,3.2149095213423524,7.999360807304514,2.8812693302384176
92,10.0601328531292,0.9297693302384218,11.62851344432324,1.3143541689542009,11.123084394861529,3.599049360181092,9.519292646157725,3.2149095213423524
93,11.62851344432324,1.3143541689542009,13.197797585252411,1.6615466525826923,12.62978019362196,3.980543075996998,11.123084394861529,3.599049360181092
94,13.197797585252411,1.6615466525826923,14.764249672194214,2.05667194973426,14.207901225854409,4.377419330238418,12.62978019362196,3.980543075996998
95,14.764249672194214,2.05667194973426,16.35474460041105,2.425919330238422,15.802668983814565,4.765112296024008,14.207901225854409,4.377419330238418
96,16.35474460041105,2.425919330238422,17.822608177506584,2.775022715789458,17.328797172788924,5.092969330238418,15.802668983814565,4.765112296024008
97,17.822608177506584,2.775022715789458,19.406102000141303,3.13259064313182,18.9422321800998,5.448762706684862,17.328797172788924,5.092969330238418
98,19.406102000141303,3.13259064313182,20.990286326045485,3.466719330238419,20.54156283554572,5.807842586248869,18.9422321800998,5.448762706684862
99,20.990286326045485,3.466719330238419,22.183844798846057,3.753308809901633,18.226891597856543,5.288119330238416,20.54156283554572,5.807842586248869
100,22.183844798846057,3.753308809901633,23.51483389664967,3.816022750904312,20.80015480128618,5.873569330238418,18.226891597856543,5.288119330238416
101,23.51483389664967,3.816022750904312,24.358308606074033,2.6463260375278783,22.13859999333507,6.161831997919749,20.80015480128618,5.873569330238418
102,24.358308606074033,2.6463260375278783,25.13429473071619,1.5450899128857307,22.932444953808165,6.363108162851443,22.13859999333507,6.161831997919749
103,25.13429473071619,1.5450899128857307,26.06138149817528,0.1974665412951777,23.113042339664755,6.39396933023842,22.932444953808165,6.363108162851443
104,26.06138149817528,0.1974665412951777,26.95092930226296,-1.059535287279069,23.113042339664755,6.39396933023842,23.113042339664755,6.39396933023842
105,26.95092930226296,-1.059535287279069,27.884658150179902,-2.4008151677427265,29.000584263436483,0.1450130224458932,23.113042339664755,6.39396933023842
106,27.884658150179902,-2.4008151677427265,28.82242325552856,-3.742787017095836,29.932400901988107,-1.23372929856375,29.000584263436483,0.1450130224458932
107,28.82242325552856,-3.742787017095836,29.707774947676487,-4.9985378108462335,30.835812650114622,-2.5264924815077685,29.932400901988107,-1.23372929856375
108,29.707774947676487,-4.9985378108462335,30.641121791544656,-6.342593261558909,31.803360075193044,-3.8880254315911342,30.835812650114622,-2.5264924815077685
109,30.641121791544656,-6.342593261558909,31.56822328601069,-7.685988642408772,32.70479632169365,-5.179761678091731,31.803360075193044,-3.8880254315911342
110,31.56822328601069,-7.685988642408772,32.47948647520307,-8.92796649495143,33.671761446120335,-6.538683628379315,32.70479632169365,-5.179761678091731
111,32.47948647520307,-8.92796649495143,33.42596440351288,-10.265716379884868,34.57430313173654,-7.829868488134627,33.671761446120335,-6.538683628379315
112,33.42596440351288,-10.265716379884868,34.34109123411211,-11.61666853314413,35.512675128688535,-9.208523963237814,34.57430313173654,-7.829868488134627
113,34.34109123411211,-11.61666853314413,35.27812818576903,-12.957093542167122,36.47303610398979,-10.574251460387885,35.512675128688535,-9.208523963237814
114,35.27812818576903,-12.957093542167122,36.183363137992025,-14.317678494390112,37.37546689240556,-11.86577133237314,36.47303610398979,-10.574251460387885
115,36.183363137992025,-14.317678494390112,37.2374816445995,-15.697047000997584,38.3152794786588,-13.24304789199224,37.37546689240556,-11.86577133237314
116,37.2374816445995,-15.697047000997584,38.375437198206704,-16.900052554604798,39.28436585692879,-14.491431213326877,38.3152794786588,-13.24304789199224
117,38.375437198206704,-16.900052554604798,39.796694994198,-17.885021288636455,40.56819520328165,-15.580110559679726,39.28436585692879,-14.491431213326877
118,39.796694994198,-17.885021288636455,41.3098056380107,-18.743159275070894,41.922416719352825,-16.384490558273246,40.56819520328165,-15.580110559679726
119,41.3098056380107,-18.743159275070894,42.89207340809072,-19.664384011464097,43.379279788096994,-17.20298877859951,41.922416719352825,-16.384490558273246
120,42.89207340809072,-19.664384011464097,42.963118195215515,-19.731383551613607,43.73626526773352,-16.922978761405346,43.379279788096994,-17.20298877859951
121,42.963118195215515,-19.731383551613607,42.72690875391839,-19.560224110316483,43.65818914968939,-17.219180669761577,43.73626526773352,-16.922978761405346
122,42.72690875391839,-19.560224110316483,44.09115962363578,-20.467141256654926,43.63986342420953,-16.765328780607614,43.65818914968939,-17.219180669761577
123,44.09115962363578,-20.467141256654926,47.08281989811799,-20.22341561861433,42.77608018025736,-15.44619553665545,43.63986342420953,-16.765328780607614
124,47.08281989811799,-20.22341561861433,47.146911028980114,-20.150749412281545,41.91501388653152,-14.1297792429296,42.77608018025736,-15.44619553665545
125,47.146911028980114,-20.150749412281545,43.348729351441946,-11.994730156149611,41.08355064553738,-12.793657399157064,41.91501388653152,-14.1297792429296
126,43.348729351441946,-11.994730156149611,42.472617847561494,-10.615958714425023,40.22502904335894,-11.47067659069612,41.08355064553738,-12.793657399157064
127,42.472617847561494,-10.615958714425023,41.54037519012437,-9.15479696296118,39.33925564650414,-10.058848765833837,40.22502904335894,-11.47067659069612
128,41.54037519012437,-9.15479696296118,40.648920225164225,-7.789785581562317,38.47960982593969,-8.74182352120024,39.33925564650414,-10.058848765833837
