segment_id,abs_kappa_01,abs_delta_kappa_01,abs_delta_psi_01,inv_d_inner_01,D_prior_local
380,0.076266244,0.0384537,0.04269369,0.39275694,-0.036358684
381,0.091253065,0.028838564,0.048233014,0.4735995,0.0063213464
382,0.10249296,0.024383048,0.044309214,0.54693687,0.04127311
383,0.111996576,0.02728798,0.04280147,0.62129116,0.07903487
384,0.12263221,0.034646414,0.05039635,0.67348844,0.11407014
385,0.13613537,0.039621986,0.06350898,0.71522653,0.14820227
386,0.15157747,0.03440245,0.07589282,0.7697468,0.18420254
387,0.16498555,0.019683573,0.078631066,0.83004755,0.21306877
388,0.17265783,0.005132131,0.07292918,0.85090375,0.21914983
389,0.17465952,0.00504708,0.065425806,0.8844372,0.23052344
390,0.17269097,0.0074831657,0.066357605,0.9094023,0.23974219
391,0.16977309,0.0025626945,0.07127252,0.8904385,0.2303684
392,0.16877267,0.005321287,0.06927554,0.9260545,0.24334745
393,0.17084809,0.012239297,0.07200796,0.9378518,0.25295624
394,0.1756194,0.02379869,0.0694475,0.9271148,0.25587597
395,0.18489528,0.035676576,0.07556077,0.9645906,0.28332904
396,0.1987999,0.039814107,0.0886573,0.9603845,0.2982821
397,0.21431686,0.0300413,0.100608915,0.9715058,0.3143512
398,0.22602543,0.009355906,0.10583959,0.9444619,0.3074564
399,0.22967312,0.006142607,0.09675389,0.91150725,0.29364493
400,0.22727764,0.0025736748,0.0831851,0.9261668,0.29098573
401,0.22627294,0.015452485,0.07638745,0.95372146,0.30252212
402,0.23229638,0.031960864,0.09742565,0.93624204,0.3141463
